date,open,close,low,high,volume,money,open_interest,settle
2024-04-08,8770,8736,8678,8782,40803,1781867010,79488,8734
2024-04-09,8750,8674,8658,8810,57880,2525883200,80225,8728
2024-04-10,8684,8678,8666,8728,39996,1739826000,81357,8700
2024-04-11,8678,8624,8612,8702,59187,2559837750,77212,8650
2024-04-12,8626,8608,8570,8666,49897,2148564820,76164,8612
2024-04-15,8632,8684,8608,8718,65170,2826422900,77153,8674
2024-04-16,8684,8776,8674,8850,109741,4802266160,82472,8752
2024-04-17,8772,8762,8732,8818,57665,2530340200,81575,8776
2024-04-18,8762,8616,8588,8762,84993,3680196900,73963,8660
2024-04-19,8610,8622,8552,8738,97234,4200508800,71202,8640
2024-04-22,8620,8630,8584,8660,45689,1970566570,76971,8626
2024-04-23,8618,8580,8580,8646,41652,1793118600,76048,8610
2024-04-24,8570,8578,8530,8626,43536,1868565120,77893,8584
2024-04-25,8582,8480,8446,8592,71471,3041091050,84531,8510
2024-04-26,8494,8514,8456,8534,40973,1740942770,84007,8498
2024-04-29,8530,8484,8468,8560,43137,1835047980,84420,8508
2024-04-30,8530,8468,8458,8530,33688,1429381840,83016,8486
2024-05-06,8378,8360,8334,8402,39227,1639688600,92605,8360
2024-05-07,8368,8406,8362,8414,36528,1531984320,96388,8388
2024-05-08,8390,8346,8346,8412,42064,1762060960,103808,8378
2024-05-09,8308,8346,8302,8390,46154,1926006420,104684,8346
2024-05-10,8350,8362,8234,8376,86890,3612017300,115039,8314
2024-05-13,8350,8312,8286,8380,76436,3182795040,114775,8328
2024-05-14,8328,8302,8284,8366,62821,2614610020,116944,8324
2024-05-15,8292,8344,8266,8354,61777,2568069890,121695,8314
2024-05-16,8322,8394,8306,8398,77073,3222422130,120942,8362
2024-05-17,8394,8446,8388,8460,66210,2789427300,115845,8426
2024-05-20,8470,8540,8444,8554,62213,2645296760,106209,8504
2024-05-21,8520,8502,8480,8584,68183,2908004950,96583,8530
2024-05-22,8476,8496,8470,8540,38835,1651652550,96036,8506
2024-05-23,8502,8458,8424,8530,46887,1987539930,97618,8478
2024-05-24,8486,8524,8480,8538,50676,2158290840,98683,8518
2024-05-27,8532,8600,8528,8614,80346,3448450320,102002,8584
2024-05-28,8600,8550,8544,8630,54618,2344750740,95428,8586
2024-05-29,8560,8604,8538,8618,46524,1996810080,92163,8584
2024-05-30,8596,8702,8586,8746,140763,6103483680,93818,8672
2024-05-31,8690,8638,8608,8706,77279,3346953490,92773,8662
2024-06-03,8670,8524,8502,8676,72594,3109926960,87380,8568
2024-06-04,8526,8440,8394,8546,76699,3242066730,90993,8454
2024-06-05,8432,8440,8414,8488,61727,2606731210,94731,8446
2024-06-06,8476,8440,8422,8478,49713,2099877120,95805,8448
2024-06-07,8440,8500,8420,8524,58955,2500281550,97722,8482
2024-06-11,8550,8580,8504,8580,49261,2104429920,96582,8544
2024-06-12,8572,8600,8554,8614,52238,2243099720,91788,8588
2024-06-13,8622,8560,8540,8638,52737,2263472040,87781,8584
2024-06-14,8572,8554,8536,8598,42641,1827593260,86401,8572
2024-06-17,8566,8448,8438,8578,63019,2676416930,89343,8494
2024-06-18,8470,8462,8456,8542,42040,1785438800,85893,8494
2024-06-19,8470,8556,8470,8592,52331,2235057010,85295,8542
2024-06-20,8570,8578,8534,8598,41276,1768263840,85565,8568
2024-06-21,8588,8540,8538,8618,49772,2134721080,85445,8578
2024-06-24,8540,8580,8506,8590,50598,2162558520,82760,8548
2024-06-25,8580,8648,8542,8658,70637,3036684630,84682,8598
2024-06-26,8642,8602,8528,8660,66975,2873227500,80181,8580
2024-06-27,8602,8594,8556,8606,37243,1598469560,80046,8584
2024-06-28,8610,8654,8596,8682,59918,2589655960,84707,8644
2024-07-01,8656,8646,8606,8674,35418,1527932520,83795,8628
2024-07-02,8646,8652,8598,8668,43231,1866714580,85083,8636
2024-07-03,8674,8768,8652,8770,93418,4069288080,92838,8712
2024-07-04,8748,8662,8654,8774,84089,3667121290,85742,8722
2024-07-05,8654,8582,8580,8692,60936,2628169680,79290,8626
2024-07-08,8620,8558,8548,8628,46219,1982332910,77259,8578
2024-07-09,8562,8526,8504,8564,37371,1593873150,76809,8530
2024-07-10,8526,8482,8468,8540,39330,1671525000,74085,8500
2024-07-11,8490,8544,8488,8550,31737,1352630940,73450,8524
2024-07-12,8530,8512,8488,8538,33425,1422568000,75730,8512
2024-07-15,8500,8422,8412,8512,51264,2165391360,79886,8448
2024-07-16,8422,8390,8378,8436,45057,1893295140,84479,8404
2024-07-17,8372,8394,8356,8428,41610,1747203900,83140,8398
2024-07-18,8406,8432,8384,8442,43869,1845130140,85709,8412
2024-07-19,8408,8404,8394,8430,28483,1197710150,84013,8410
2024-07-22,8416,8380,8352,8430,39583,1659319360,82530,8384
2024-07-23,8362,8352,8342,8390,34841,1456702210,81682,8362
2024-07-24,8344,8328,8280,8350,51332,2133871240,82394,8314
2024-07-25,8350,8240,8238,8354,39327,1629317610,83066,8286
2024-07-26,8230,8316,8190,8330,56285,2326259050,79952,8266
2024-07-29,8304,8290,8250,8320,53509,2217412960,79086,8288
2024-07-30,8300,8196,8172,8300,47138,1940200080,78140,8232
2024-07-31,8192,8320,8176,8336,52437,2164074990,71097,8254
2024-08-01,8340,8378,8314,8396,48893,2044216330,70638,8362
2024-08-02,8372,8302,8302,8386,37613,1569966620,68123,8348
2024-08-05,8250,8136,8120,8278,59510,2438719800,72016,8196
2024-08-06,8050,8066,8050,8162,50318,2040394900,67704,8110
2024-08-07,8036,8060,7968,8076,59147,2374752050,63692,8030
2024-08-08,8092,8036,8012,8130,32197,1297217130,63494,8058
2024-08-09,8040,7980,7892,8056,74322,2960245260,60666,7966
2024-08-12,7980,8062,7954,8066,39694,1588950820,58008,8006
2024-08-13,8078,8084,8042,8124,32364,1307505600,52549,8080
2024-08-14,8080,8002,7976,8080,39343,1579228020,48320,8028
2024-08-15,8030,7962,7756,8030,96999,3832430490,61081,7902
2024-08-16,7970,7954,7926,8040,45266,1807471380,62739,7986
